local,rooms,price,area,restroom,status,kind,movel
" Albufeira e Olhos de Água, Albufeira, Faro",T4,1036,200,4,62591 /AL,moradia,ferias
" Albufeira e Olhos de Água, Albufeira, Faro",T4,794,119,4,11624 /AL,moradia,ferias
" Quarteira, Loulé, Faro",T3,515,120,3,79297 /AL,moradia,ferias
" São Brás de Alportel, Faro",T3,500,151,2,63286 /AL,moradia,ferias
" Luz, Lagos, Faro",T2,889,120,2,10346 /AL,moradia,ferias
" São Gonçalo de Lagos, Lagos, Faro",T3,,"152,95",3,Usado,moradia,ferias
" Quarteira, Loulé, Faro",T4,580,250,3,Usado,moradia,ferias
" Guia, Albufeira, Faro",T5,910,300,3,Usado,moradia,ferias
" Albufeira e Olhos de Água, Albufeira, Faro",T4,826,201,4,Usado,moradia,ferias
" Albufeira e Olhos de Água, Albufeira, Faro",T3,2213,140,3,Usado,moradia,ferias
" Quarteira, Loulé, Faro",T3,,223,4,Usado,moradia,ferias
" Castro Marim, Faro",T2,800,120,2,Usado,moradia,ferias
" Castro Marim, Faro",T4,950,300,3,Usado,moradia,ferias
" Albufeira e Olhos de Água, Albufeira, Faro",T2,316,70,1,8608 /AL,moradia,ferias
" Budens, Vila do Bispo, Faro",T3,1484,170,3,29959 /AL,moradia,ferias
" Albufeira e Olhos de Água, Albufeira, Faro",T3,,154,,"

",moradia,ferias
" Castro Marim, Faro",T3,7000,250,4,Usado,moradia,ferias
" Olhão, Faro",T4,3650,295,,Casas de Banho: 4 ou mais,moradia,ferias
" Altura, Castro Marim, Faro",T4,2500,250,4,Usado,moradia,ferias
" Monte Gordo, Vila Real de Santo António, Faro",T3,1000,150,4,Usado,moradia,ferias
" Tavira (Santa Maria e Santiago), Tavira, Faro",T1,420,50,1,Renovado,moradia,ferias
" Altura, Castro Marim, Faro",T4,1000,180,4,Usado,moradia,ferias
" Albufeira e Olhos de Água, Albufeira, Faro",T2,800,98,,29390 /AL,moradia,ferias
" Castro Marim, Faro",T4,700,160,1,Renovado,moradia,ferias
" Vila Nova de Cacela, Vila Real de Santo António, Faro",T2,400,90,1,Usado,moradia,ferias
" Altura, Castro Marim, Faro",T5,2500,250,3,Usado,moradia,ferias
" Luz de Tavira e Santo Estêvão, Tavira, Faro",T2,500,70,1,Usado,moradia,ferias
" Luz de Tavira e Santo Estêvão, Tavira, Faro",T1,350,60,1,Usado,moradia,ferias
" Boliqueime, Loulé, Faro",T5,1550,202,4,Usado,moradia,ferias
" Altura, Castro Marim, Faro",T3,500,"102,62",3,Usado,moradia,ferias
" Vila Nova de Cacela, Vila Real de Santo António, Faro",T3,1900,200,3,Usado,moradia,ferias
" Altura, Castro Marim, Faro",T3,,140,2,Novo,moradia,ferias
" Albufeira e Olhos de Água, Albufeira, Faro",T3,707,715,4,Usado,moradia,ferias
" Vila Nova de Cacela, Vila Real de Santo António, Faro",T3,,150,3,Novo,moradia,ferias
" Vaqueiros, Alcoutim, Faro",T2,210,60,,"

",moradia,ferias
" Vau, Óbidos, Leiria",T4,370,"158,59",2,Usado,moradia,ferias
" Vau, Óbidos, Leiria",T3,350,155,3,Usado,moradia,ferias
" São Martinho do Porto, Alcobaça, Leiria",T3,,108,2,Novo,moradia,ferias
" São Martinho do Porto, Alcobaça, Leiria",T4,450,165,3,Usado,moradia,ferias
" São Martinho do Porto, Alcobaça, Leiria",T4,450,185,3,Usado,moradia,ferias
" Évora de Alcobaça, Alcobaça, Leiria",T0,295,27,72877,"
",moradia,ferias
" São Martinho do Porto, Alcobaça, Leiria",T4,350,86,,98192 /AL,moradia,ferias
" Silveira, Torres Vedras, Lisboa",T4,810,150,,Casas de Banho: 2,moradia,ferias
" Ericeira, Mafra, Lisboa",T3,675,150,3,81456 /AL,moradia,ferias
