local,rooms,price,area,restroom,status,kind,movel
" Bacelo e Senhora da Saúde, Évora",T3,1250,"88,48",1,Novo,moradia,arrendar
" Nossa Senhora da Vila, Nossa Senhora do Bispo e Silveiras, Montemor-o-Novo, Évora",T3,800,120,2,Renovado,moradia,arrendar
" Redondo, Évora",T1,400,60,1,Renovado,moradia,arrendar
" Évora (São Mamede, Sé, São Pedro e Santo Antão), Évora",T1,550,48,1,Renovado,moradia,arrendar
" Évora (São Mamede, Sé, São Pedro e Santo Antão), Évora",T1,525,75,1,Renovado,moradia,arrendar
" Reguengos de Monsaraz, Évora",T3,300,160,3,Usado,moradia,arrendar
" Luz de Tavira e Santo Estêvão, Tavira, Faro",T2,500,112,1,Renovado,moradia,arrendar
" Mexilhoeira Grande, Portimão, Faro",T3,2500,156,2,Novo,moradia,arrendar
" Quarteira, Loulé, Faro",T4,1750,200,3,Usado,moradia,arrendar
" Albufeira e Olhos de Água, Albufeira, Faro",T3,1300,110,3,Usado,moradia,arrendar
" Alvor, Portimão, Faro",T0,3000,515,4,"
                                                                                                        Expogroup Algarve                                                                                        ",moradia,arrendar
" Albufeira e Olhos de Água, Albufeira, Faro",T3,1450,"153,40",4,Novo,moradia,arrendar
" Conceição e Cabanas de Tavira, Tavira, Faro",T3,2500,"164,90",4,Usado,moradia,arrendar
" Quarteira, Loulé, Faro",T3,1500,183,4,"

",moradia,arrendar
" Quarteira, Loulé, Faro",T3,2500,97,4,Usado,moradia,arrendar
" Santa Bárbara de Nexe, Faro",T3,1000,130,2,Renovado,moradia,arrendar
" São Clemente, Loulé, Faro",T3,475,419,2,"
                                                                                                        REMAX LOULÉ                                                                                        ",moradia,arrendar
" Altura, Castro Marim, Faro",T3,1000,137,3,,moradia,arrendar
" Alcantarilha e Pêra, Silves, Faro",T2,900,"90,40",2,Em construção,moradia,arrendar
" Albufeira e Olhos de Água, Albufeira, Faro",T4,3500,219,4,Usado,moradia,arrendar
" Alcantarilha e Pêra, Silves, Faro",T2,1100,"113,20",2,Em construção,moradia,arrendar
" Guia, Albufeira, Faro",T3,630,142,2,"
                                                                                                        REMAX LOULÉ                                                                                        ",moradia,arrendar
" Guia, Albufeira, Faro",T4,995,200,2,"
                                                                                                        REMAX LOULÉ                                                                                        ",moradia,arrendar
" Guia, Albufeira, Faro",T4,1580,200,2,"
                                                                                                        REMAX LOULÉ                                                                                        ",moradia,arrendar
" Tavira (Santa Maria e Santiago), Tavira, Faro",T1,500,"52,20",1,Usado,moradia,arrendar
" Tavira (Santa Maria e Santiago), Tavira, Faro",T1,500,"52,20",1,Usado,moradia,arrendar
" Armação de Pêra, Silves, Faro",T3,1700,"157,10",3,"
                                                                                                        Expogroup Algarve                                                                                        ",moradia,arrendar
" Conceição e Cabanas de Tavira, Tavira, Faro",T3,2000,"164,90",4,Usado,moradia,arrendar
" Olhão, Faro",T4,1200,306,2,Usado,moradia,arrendar
" Montenegro, Faro",T3,1900,265,,,moradia,arrendar
" Conceição e Cabanas de Tavira, Tavira, Faro",T3,2000,"164,90",3,Usado,moradia,arrendar
" Faro (Sé e São Pedro), Faro",T1,650,51,1,Usado,moradia,arrendar
" Azinhal, Castro Marim, Faro",T1,500,33,1,Novo,moradia,arrendar
" Faro (Sé e São Pedro), Faro",T3,1150,"79,85",2,Usado,moradia,arrendar
" Vila Nova de Cacela, Vila Real de Santo António, Faro",T2,850,"77,35",2,Usado,moradia,arrendar
" Moncarapacho e Fuseta, Olhão, Faro",T4,1800,154,3,Novo,moradia,arrendar
" São Sebastião, Loulé, Faro",T4,3000,196,4,Renovado,moradia,arrendar
" Quarteira, Loulé, Faro",T3,1330,419,2,"
                                                                                                        REMAX LOULÉ                                                                                        ",moradia,arrendar
" Altura, Castro Marim, Faro",T3,650,138,2,"
                                                                                                        REMAX LOULÉ                                                                                        ",moradia,arrendar
" Portimão, Faro",T4,3500,230,4,"
                                                                                                        Expogroup Algarve                                                                                        ",moradia,arrendar
" Almancil, Loulé, Faro",T4,3800,"174,63",3,Usado,moradia,arrendar
" São Bartolomeu de Messines, Silves, Faro",T3,1100,150,,,moradia,arrendar
" Luz, Lagos, Faro",T3,3750,"321,90",3,Usado,moradia,arrendar
" Quarteira, Loulé, Faro",T3,1900,150,3,Usado,moradia,arrendar
" Vila Nova de Cacela, Vila Real de Santo António, Faro",T3,850,152,3,Usado,moradia,arrendar
" Altura, Castro Marim, Faro",T5,3000,300,3,Usado,moradia,arrendar
" São Gonçalo de Lagos, Lagos, Faro",T4,2200,240,3,Usado,moradia,arrendar
" Castro Marim, Faro",T3,800,120,1,Renovado,moradia,arrendar
" Ferreiras, Albufeira, Faro",T3,1650,152,3,Usado,moradia,arrendar
" Mexilhoeira Grande, Portimão, Faro",T3,2500,142,3,Usado,moradia,arrendar
" Quarteira, Loulé, Faro",T3,950,109,2,"
                                                                                                        REMAX LOULÉ                                                                                        ",moradia,arrendar
" Vila Real de Santo António, Faro",T2,450,49,,,moradia,arrendar
" Quarteira, Loulé, Faro",T2,1000,62,1,"

",moradia,arrendar
" Quarteira, Loulé, Faro",T2,1000,62,1,"

",moradia,arrendar
" Luz, Lagos, Faro",T2,1500,90,1,Usado,moradia,arrendar
" Altura, Castro Marim, Faro",T4,3000,500,4,Usado,moradia,arrendar
" Portimão, Faro",T1,450,50,1,Renovado,moradia,arrendar
" Vila Nova de Cacela, Vila Real de Santo António, Faro",T4,800,"96,08",,,moradia,arrendar
" Portimão, Faro",T2,950,73,2,"

",moradia,arrendar
" Altura, Castro Marim, Faro",T3,1000,170,2,Usado,moradia,arrendar
" Vila Nova de Cacela, Vila Real de Santo António, Faro",T4,2000,120,3,Usado,moradia,arrendar
" Silves, Faro",T2,650,90,,,moradia,arrendar
" Conceição e Cabanas de Tavira, Tavira, Faro",T3,790,110,2,"

",moradia,arrendar
" Faro (Sé e São Pedro), Faro",T2,1250,120,2,Novo,moradia,arrendar
" Luz de Tavira e Santo Estêvão, Tavira, Faro",T2,750,100,1,Renovado,moradia,arrendar
" Portimão, Faro",T3,1850,185,4,Novo,moradia,arrendar
" Olhão, Faro",T1,600,65,,Casas de Banho: 1,moradia,arrendar
" Boliqueime, Loulé, Faro",T2,550,120,,Casas de Banho: 1,moradia,arrendar
" Luz de Tavira e Santo Estêvão, Tavira, Faro",T1,500,44,1,Usado,moradia,arrendar
" Altura, Castro Marim, Faro",T2,695,99,1,Renovado,moradia,arrendar
" Santa Bárbara de Nexe, Faro",T7,8500,339,,,moradia,arrendar
" Barão de São Miguel, Vila do Bispo, Faro",T10 ou superior,3000,500,4,Renovado,moradia,arrendar
" Luz de Tavira e Santo Estêvão, Tavira, Faro",T2,800,80,2,Renovado,moradia,arrendar
" Algoz e Tunes, Silves, Faro",T1,460,65,1,"

",moradia,arrendar
" Olhão, Faro",T2,650,77,,"

",moradia,arrendar
" Quarteira, Loulé, Faro",T7,5500,500,4,Usado,moradia,arrendar
" Olhão, Faro",T3,650,120,2,Renovado,moradia,arrendar
" Querença, Tôr e Benafim, Loulé, Faro",T4,1000,200,3,Usado,moradia,arrendar
" Santa Bárbara de Nexe, Faro",T4,6500,640,,,moradia,arrendar
" Conceição e Estoi, Faro",T3,750,109,,"

",moradia,arrendar
" Sabugueiro, Seia, Guarda",T4,700,126,3,"
                                                                                                        Remax Market - Grupo Summit                                                                                        ",moradia,arrendar
 Guarda,T5,1200,202,3,Usado,moradia,arrendar
" Sabugal e Aldeia de Santo António, Sabugal, Guarda",T3,350,120,1,Usado,moradia,arrendar
" Gouveia (São Pedro e São Julião), Gouveia, Guarda",T1,280,50,1,"

",moradia,arrendar
" Celorico (São Pedro e Santa Maria) e Vila Boa do Mondego, Celorico da Beira, Guarda",T9,950,330,,"

",moradia,arrendar
" Açores e Velosa, Celorico da Beira, Guarda",T1,290,35,1,Novo,moradia,arrendar
" Porto da Cruz, Machico, Ilha da Madeira",T1,600,90,1,"

",moradia,arrendar
" São Martinho, Funchal, Ilha da Madeira",T2,930,120,1,Usado,moradia,arrendar
" Santana, Ilha da Madeira",T1,400,60,1,Usado,moradia,arrendar
" Santa Maria Maior, Funchal, Ilha da Madeira",T1,700,40,1,Usado,moradia,arrendar
" Santa Maria Maior, Funchal, Ilha da Madeira",T4,,409,4,"

",moradia,arrendar
" São Pedro, Ponta Delgada, Ilha de São Miguel",T6,1250,372,4,Usado,moradia,arrendar
" Ponta Delgada (São Sebastião), Ponta Delgada, Ilha de São Miguel",T0,9000,1360,,"

",moradia,arrendar
" Ponta Delgada (São Sebastião), Ponta Delgada, Ilha de São Miguel",T2,650,77,1,"
                                                                                                        António Vasconcelos Tavares - Mediação Imobiliária, Lda.                                                                                        ",moradia,arrendar
" Arrabal, Leiria",T5,2500,290,4,Novo,moradia,arrendar
" Vau, Óbidos, Leiria",T4,950,"158,59",2,Usado,moradia,arrendar
" Foz do Arelho, Caldas da Rainha, Leiria",T6,1800,250,3,Renovado,moradia,arrendar
" Usseira, Óbidos, Leiria",T3,550,120,3,Renovado,moradia,arrendar
" Marrazes e Barosa, Leiria",T4,600,102,4,"

",moradia,arrendar
" Alvados e Alcaria, Porto de Mós, Leiria",T2,650,77,1,"

",moradia,arrendar
" Cela, Alcobaça, Leiria",T6,890,340,4,Usado,moradia,arrendar
" Almagreira, Pombal, Leiria",T3,1200,166,,,moradia,arrendar
" Nadadouro, Caldas da Rainha, Leiria",T3,950,150,2,Usado,moradia,arrendar
" Caldas da Rainha - Santo Onofre e Serra do Bouro, Caldas da Rainha, Leiria",T3,650,119,1,"
                                                                                                        RE/MAX + Grupo Vantagem                                                                                        ",moradia,arrendar
" Milagres, Leiria",T3,800,500,3,Renovado,moradia,arrendar
" Tornada e Salir do Porto, Caldas da Rainha, Leiria",T3,900,220,2,Usado,moradia,arrendar
" Turquel, Alcobaça, Leiria",T3,600,154,,"

",moradia,arrendar
" Caranguejeira, Leiria",T3,550,100,,"
",moradia,arrendar
" Pombal, Leiria",T3,580,140,2,Usado,moradia,arrendar
" Santiago da Guarda, Ansião, Leiria",T3,280,70,,,moradia,arrendar
" Marinha Grande, Leiria",T2,600,100,1,Renovado,moradia,arrendar
" Agualva e Mira-Sintra, Sintra, Lisboa",T2,750,72,,"

",moradia,arrendar
" Cascais e Estoril, Cascais, Lisboa",T3,4500,160,2,Usado,moradia,arrendar
" Barcarena, Oeiras, Lisboa",T3,2750,"219,72",3,Usado,moradia,arrendar
" Belém, Lisboa",T3,3750,170,2,Usado,moradia,arrendar
" Alcabideche, Cascais, Lisboa",T4,1950,150,3,Usado,moradia,arrendar
" Cascais e Estoril, Cascais, Lisboa",T3,3000,150,2,Usado,moradia,arrendar
" Cascais e Estoril, Cascais, Lisboa",T4,10000,450,4,Renovado,moradia,arrendar
" Rio de Mouro, Sintra, Lisboa",T3,4000,"129,90",4,"

",moradia,arrendar
" Loures, Lisboa",T3,2200,"169,11",3,Novo,moradia,arrendar
" Cascais e Estoril, Cascais, Lisboa",T5,9000,"532,10",4,Usado,moradia,arrendar
" Cascais e Estoril, Cascais, Lisboa",T3,3000,180,3,Usado,moradia,arrendar
" Alcabideche, Cascais, Lisboa",T3,3900,250,3,Usado,moradia,arrendar
" Cascais e Estoril, Cascais, Lisboa",T6,17500,720,4,Usado,moradia,arrendar
" Alcabideche, Cascais, Lisboa",T6,1800,120,4,Usado,moradia,arrendar
" Sintra (Santa Maria e São Miguel, São Martinho e São Pedro de Penaferrim), Sintra, Lisboa",T2,980,80,1,Usado,moradia,arrendar
" Carcavelos e Parede, Cascais, Lisboa",T5,6500,358,4,Renovado,moradia,arrendar
" Cascais e Estoril, Cascais, Lisboa",T6,6500,600,4,Renovado,moradia,arrendar
" Alcabideche, Cascais, Lisboa",T3,4200,200,4,Usado,moradia,arrendar
" Barcarena, Oeiras, Lisboa",T3,2750,180,3,Usado,moradia,arrendar
" Cascais e Estoril, Cascais, Lisboa",T6,4500,400,,"

",moradia,arrendar
" Cascais e Estoril, Cascais, Lisboa",T5,5000,387,4,"

",moradia,arrendar
" Ericeira, Mafra, Lisboa",T2,1000,70,1,Usado,moradia,arrendar
" Alcabideche, Cascais, Lisboa",T3,3900,180,3,Renovado,moradia,arrendar
" Penha de França, Lisboa",T4,5900,233,4,Renovado,moradia,arrendar
" Cascais e Estoril, Cascais, Lisboa",T4,3200,170,2,Usado,moradia,arrendar
" Cascais e Estoril, Cascais, Lisboa",T5,15000,320,4,Novo,moradia,arrendar
" Alcabideche, Cascais, Lisboa",T3,2700,"208,25",3,Usado,moradia,arrendar
" Alvalade, Lisboa",T10 ou superior,15000,823,4,Para recuperar,moradia,arrendar
" Alvalade, Lisboa",T8,25000,400,4,Usado,moradia,arrendar
" Cascais e Estoril, Cascais, Lisboa",T4,2800,160,3,Usado,moradia,arrendar
" Ericeira, Mafra, Lisboa",T3,1800,"183,52",4,Usado,moradia,arrendar
" Carcavelos e Parede, Cascais, Lisboa",T4,2500,188,4,Usado,moradia,arrendar
" São Domingos de Rana, Cascais, Lisboa",T3,2900,245,3,Novo,moradia,arrendar
" Cascais e Estoril, Cascais, Lisboa",T4,2500,253,3,Usado,moradia,arrendar
" Cascais e Estoril, Cascais, Lisboa",T3,2600,"156,50",3,Usado,moradia,arrendar
" Oeiras e São Julião da Barra, Paço de Arcos e Caxias, Oeiras, Lisboa",T10 ou superior,6800,407,4,Usado,moradia,arrendar
" Cascais e Estoril, Cascais, Lisboa",T3,3500,"142,96",4,Usado,moradia,arrendar
" Cascais e Estoril, Cascais, Lisboa",T4,4500,"279,75",4,Usado,moradia,arrendar
" Sintra (Santa Maria e São Miguel, São Martinho e São Pedro de Penaferrim), Sintra, Lisboa",T3,2600,167,4,Usado,moradia,arrendar
" Oeiras e São Julião da Barra, Paço de Arcos e Caxias, Oeiras, Lisboa",T2,1500,"85,50",2,Usado,moradia,arrendar
" Cascais e Estoril, Cascais, Lisboa",T3,2300,210,3,Usado,moradia,arrendar
" Ericeira, Mafra, Lisboa",T10 ou superior,15000,320,4,"

",moradia,arrendar
" Alvalade, Lisboa",T7,25000,848,4,"

",moradia,arrendar
" Ajuda, Lisboa",T5,2900,200,4,Renovado,moradia,arrendar
" Rio de Mouro, Sintra, Lisboa",T7,2990,320,4,Usado,moradia,arrendar
" Alcabideche, Cascais, Lisboa",T5,5000,235,4,Usado,moradia,arrendar
" Alcabideche, Cascais, Lisboa",T4,3600,187,4,Renovado,moradia,arrendar
" Lumiar, Lisboa",T7,25000,1010,,"

",moradia,arrendar
" Cascais e Estoril, Cascais, Lisboa",T6,2300,189,3,Usado,moradia,arrendar
" Sintra (Santa Maria e São Miguel, São Martinho e São Pedro de Penaferrim), Sintra, Lisboa",T7,13500,180,3,Usado,moradia,arrendar
" Carcavelos e Parede, Cascais, Lisboa",T4,3000,290,4,Usado,moradia,arrendar
" Cascais e Estoril, Cascais, Lisboa",T5,4000,285,,"
                                                                                                        Sucessos Confiantes                                                                                        ",moradia,arrendar
" Porto Salvo, Oeiras, Lisboa",T5,1800,152,3,"

",moradia,arrendar
" Lourinhã e Atalaia, Lourinhã, Lisboa",T4,1700,160,3,Renovado,moradia,arrendar
" Sintra (Santa Maria e São Miguel, São Martinho e São Pedro de Penaferrim), Sintra, Lisboa",T5,4500,250,4,"

",moradia,arrendar
" São Domingos de Rana, Cascais, Lisboa",T1,900,50,1,Usado,moradia,arrendar
" Almargem do Bispo, Pêro Pinheiro e Montelavar, Sintra, Lisboa",T3,1200,90,2,Renovado,moradia,arrendar
" Alcabideche, Cascais, Lisboa",T2,2500,80,2,Usado,moradia,arrendar
" Almargem do Bispo, Pêro Pinheiro e Montelavar, Sintra, Lisboa",T4,6000,385,4,Usado,moradia,arrendar
" Carnaxide e Queijas, Oeiras, Lisboa",T4,10000,560,4,Novo,moradia,arrendar
" Cascais e Estoril, Cascais, Lisboa",T2,1750,216,2,Usado,moradia,arrendar
" Cascais e Estoril, Cascais, Lisboa",T5,2300,168,3,Usado,moradia,arrendar
" Penha de França, Lisboa",T4,5900,233,4,Renovado,moradia,arrendar
" Alvalade, Lisboa",T6,4000,318,4,Usado,moradia,arrendar
" Malveira e São Miguel de Alcainça, Mafra, Lisboa",T4,1100,131,2,Usado,moradia,arrendar
" Carcavelos e Parede, Cascais, Lisboa",T4,2500,163,4,Renovado,moradia,arrendar
" Cascais e Estoril, Cascais, Lisboa",T7,6000,390,4,Usado,moradia,arrendar
" Avenidas Novas, Lisboa",T3,3000,134,2,Usado,moradia,arrendar
" Alcabideche, Cascais, Lisboa",T6,2400,140,3,Usado,moradia,arrendar
" Cascais e Estoril, Cascais, Lisboa",T6,4500,"306,36",4,Usado,moradia,arrendar
" Belém, Lisboa",T4,3750,118,,"

",moradia,arrendar
" Belém, Lisboa",T3,3750,170,2,"

",moradia,arrendar
" Alcabideche, Cascais, Lisboa",T4,5000,"246,36",,"
                                                                                                        Sucessos Confiantes                                                                                        ",moradia,arrendar
" Lourinhã e Atalaia, Lourinhã, Lisboa",T4,2000,"184,35",4,Usado,moradia,arrendar
" Ericeira, Mafra, Lisboa",T3,1600,110,2,Usado,moradia,arrendar
" Sintra (Santa Maria e São Miguel, São Martinho e São Pedro de Penaferrim), Sintra, Lisboa",T3,1200,160,3,Usado,moradia,arrendar
" Alcabideche, Cascais, Lisboa",T4,3900,200,3,Renovado,moradia,arrendar
" Estrela, Lisboa",T3,2000,130,2,Usado,moradia,arrendar
" Alvalade, Lisboa",T5,25000,802,,"

",moradia,arrendar
" Sintra (Santa Maria e São Miguel, São Martinho e São Pedro de Penaferrim), Sintra, Lisboa",T6,9500,535,4,Usado,moradia,arrendar
" Santo António, Lisboa",T1,900,40,2,Usado,moradia,arrendar
" Carcavelos e Parede, Cascais, Lisboa",T4,3000,290,,"

",moradia,arrendar
" Lourinhã e Atalaia, Lourinhã, Lisboa",T4,2500,"200,79",4,Novo,moradia,arrendar
" Cascais e Estoril, Cascais, Lisboa",T4,4000,210,4,Renovado,moradia,arrendar
" Pontinha e Famões, Odivelas, Lisboa",T2,850,90,2,Renovado,moradia,arrendar
" Venda do Pinheiro e Santo Estêvão das Galés, Mafra, Lisboa",T4,2500,418,4,Usado,moradia,arrendar
" Colares, Sintra, Lisboa",T3,5000,233,4,Renovado,moradia,arrendar
" São Domingos de Rana, Cascais, Lisboa",T5,3500,"246,69",4,"
                                                                                                        RE/MAX + Grupo Vantagem                                                                                        ",moradia,arrendar
" Alcabideche, Cascais, Lisboa",T4,3750,153,4,"
                                                                                                        RE/MAX + Grupo Vantagem                                                                                        ",moradia,arrendar
" Carcavelos e Parede, Cascais, Lisboa",T4,2500,225,4,"

",moradia,arrendar
" Algueirão-Mem Martins, Sintra, Lisboa",T5,2800,"163,02",3,"

",moradia,arrendar
" Oeiras e São Julião da Barra, Paço de Arcos e Caxias, Oeiras, Lisboa",T10 ou superior,6800,407,4,Usado,moradia,arrendar
" Belém, Lisboa",T7,12000,541,4,Usado,moradia,arrendar
" Alvalade, Lisboa",T5,4000,318,,"

",moradia,arrendar
" Porto Salvo, Oeiras, Lisboa",T2,850,100,1,"

",moradia,arrendar
" Cascais e Estoril, Cascais, Lisboa",T4,2500,253,3,"

",moradia,arrendar
" Carcavelos e Parede, Cascais, Lisboa",T5,3600,300,4,"

",moradia,arrendar
" Lourinhã e Atalaia, Lourinhã, Lisboa",T4,1450,170,,"

",moradia,arrendar
" Pontinha e Famões, Odivelas, Lisboa",T3,800,100,1,Usado,moradia,arrendar
